Custom Table Report,,,,,,,UNOFFICIAL RESULTS
State & Federal Primary and County General,,,,,,,
"August 6, 2026",,,,,,,Hamilton
,,STATISTICS,,,,,
,,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General,
CONCORD A,,,,42,12,135,10,15,2
CONCORD B,,,,74,21,188,8,23,4
COURTHOUSE,,,,42,7,134,5,10,4
DALEWOOD,15,8,0,126,31,233,18,91,12
DALLAS,508,142,2,36,9,201,13,15,3
DOWNTOWN,,,,62,13,196,12,23,7
DUPONT,286,113,8,44,18,257,12,18,5
EAST BRAINERD A,,,,66,19,182,7,20,3
EAST BRAINERD B,,,,99,20,240,15,36,2
EAST CHATTANOOGA,22,3,1,114,19,147,12,63,6
EAST LAKE,,,,53,13,94,6,16,2
EAST RIDGE A,,,,71,18,294,27,20,3
EAST RIDGE B,,,,87,22,366,23,26,7
EAST RIDGE C,,,,39,11,110,9,2,3
EAST RIDGE D,,,,45,22,177,12,12,0
EASTGATE,,,,104,17,283,23,37,12
,"REP State Executive Committeewoman, District 11 District 11",,,DEM Governor,,,,,
,VOTE FOR 1,,,VOTE FOR 1,,,,,
,57 of 57 Precincts Reporting,,,92 of 93 Precincts Reporting,,,,,
